"COLUMN_NAME","COMMENTS"
"OB_ORGNAME_0292","机构名称"
"OB_DECLAREDATE_0292","公告日期"
"OB_STARTDATE_0292","开始日期"
"OB_ENDDATE_0292","截止日期"
"F001D_0292","报告年度(YYYY-03-31为一季报,YYYY-06-30为中报,YYYY-09-30为三季报,YYYY-12-31为年报)"
"F002V_0292","合并类型编码"
"F003V_0292","合并类型(合并本期,合并上期,母公司本期,母公司上期)"
"F004V_0292","报表来源编码"
"F005V_0292","报表来源"
"F006N_0292","销售商品、提供劳务收到的现金"
"F007N_0292","收到的税费返还"
"F008N_0292","收到其他与经营活动有关的现金"
"F009N_0292","经营活动现金流入小计"
"F010N_0292","购买商品、接受劳务支付的现金"
"F011N_0292","支付给职工以及为职工支付的现金"
"F012N_0292","支付的各项税费"
"F013N_0292","支付其他与经营活动有关的现金"
"F014N_0292","经营活动现金流出小计"
"F015N_0292","经营活动产生的现金流量净额"
"F016N_0292","收回投资收到的现金"
"F017N_0292","取得投资收益收到的现金"
"F018N_0292","处置固定资产、无形资产和其他长期资产收回的现金净额"
"F019N_0292","处置子公司及其他营业单位收到的现金净额"
"F020N_0292","收到其他与投资活动有关的现金"
"F021N_0292","投资活动现金流入小计"
"F022N_0292","购建固定资产、无形资产和其他长期资产支付的现金"
"F023N_0292","投资支付的现金"
"F024N_0292","取得子公司及其他营业单位支付的现金净额"
"F025N_0292","支付其他与投资活动有关的现金"
"F026N_0292","投资活动现金流出小计"
"F027N_0292","投资活动产生的现金流量净额"
"F028N_0292","吸收投资收到的现金"
"F029N_0292","取得借款收到的现金"
"F030N_0292","收到其他与筹资活动有关的现金"
"F031N_0292","筹资活动现金流入小计"
"F032N_0292","偿还债务支付的现金"
"F033N_0292","分配股利、利润或偿付利息支付的现金"
"F034N_0292","支付其他与筹资活动有关的现金"
"F035N_0292","筹资活动现金流出小计"
"F036N_0292","筹资活动产生的现金流量净额"
"F037N_0292","四、汇率变动对现金的影响"
"F038N_0292","四(2)、其他原因对现金的影响"
"F039N_0292","五、现金及现金等价物净增加额"
"F040N_0292","期初现金及现金等价物余额"
"F041N_0292","期末现金及现金等价物余额"
"F042N_0292","附注："
"F043N_0292","1、将净利润调节为经营活动现金流量："
"F044N_0292","净利润"
"F045N_0292","加：资产减值准备"
"F046N_0292","固定资产折旧、油气资产折耗、生产性生物资产折旧"
"F047N_0292","无形资产摊销"
"F048N_0292","长期待摊费用摊销"
"F049N_0292","处置固定资产、无形资产和其他长期资产的损失"
"F050N_0292","固定资产报废损失"
"F051N_0292","公允价值变动损失"
"F052N_0292","财务费用"
"F053N_0292","投资损失"
